stichtag,erhebungsart,bevoelkerung,maennlich,weiblich
1971-03-31,fortschreibung,11710,5716,5994
1971-06-30,fortschreibung,11922,5852,6070
1971-09-30,fortschreibung,12173,5990,6183
1971-12-31,fortschreibung,12493,6191,6302
1972-03-31,fortschreibung,12808,6375,6433
1972-06-30,fortschreibung,13109,6560,6549
1972-09-30,fortschreibung,13446,6727,6719
1972-12-31,fortschreibung,13758,6849,6909
1973-03-31,fortschreibung,14264,7086,7178
1973-06-30,fortschreibung,14742,7334,7408
1973-09-30,fortschreibung,15115,7506,7609
1973-12-31,fortschreibung,15387,7611,7776
1974-03-31,fortschreibung,15530,7659,7871
1974-06-30,fortschreibung,15602,7681,7921
1974-09-30,fortschreibung,15661,7716,7945
1974-12-31,fortschreibung,15686,7697,7989
1975-03-31,fortschreibung,15741,7707,8034
1975-06-30,fortschreibung,15774,7718,8056
1975-09-30,fortschreibung,15856,7732,8124
1975-12-31,fortschreibung,15910,7758,8152
1976-03-31,fortschreibung,15952,7766,8186
1976-06-30,fortschreibung,15999,7777,8222
1976-09-30,fortschreibung,16169,7847,8322
1976-12-31,fortschreibung,16283,7901,8382
1977-03-31,fortschreibung,16394,7953,8441
1977-06-30,fortschreibung,16523,8020,8503
1977-09-30,fortschreibung,16722,8118,8604
1977-12-31,fortschreibung,16830,8183,8647
1978-03-31,fortschreibung,16986,8278,8708
1978-06-30,fortschreibung,17077,8327,8750
1978-09-30,fortschreibung,17253,8414,8839
1978-12-31,fortschreibung,17321,8468,8853
1979-03-31,fortschreibung,17390,8509,8881
1979-06-30,fortschreibung,17460,8549,8911
1979-09-30,fortschreibung,17529,8587,8942
1979-12-31,fortschreibung,17613,8656,8957
1980-03-31,fortschreibung,17717,8680,9037
1980-06-30,fortschreibung,17764,8703,9061
1980-09-30,fortschreibung,17859,8750,9109
1980-12-31,fortschreibung,17979,8812,9167
1981-03-31,fortschreibung,18047,8830,9217
1981-06-30,fortschreibung,18086,8869,9217
1981-09-30,fortschreibung,18193,8926,9267
1981-12-31,fortschreibung,18227,8959,9268
1982-03-31,fortschreibung,18206,8939,9267
1982-06-30,fortschreibung,18183,8920,9263
1982-09-30,fortschreibung,18278,8953,9325
1982-12-31,fortschreibung,18319,8981,9338
1983-03-31,fortschreibung,18419,9042,9377
1983-06-30,fortschreibung,18398,9033,9365
1983-09-30,fortschreibung,18395,9017,9378
1983-12-31,fortschreibung,18395,9029,9366
1984-03-31,fortschreibung,18404,9041,9363
1984-06-30,fortschreibung,18414,9055,9359
1984-09-30,fortschreibung,18498,9086,9412
1984-12-31,fortschreibung,18513,9098,9415
1985-03-31,fortschreibung,18482,9090,9392
1985-06-30,fortschreibung,18506,9089,9417
1985-09-30,fortschreibung,18547,9121,9426
1985-12-31,fortschreibung,18584,9129,9455
1986-03-31,fortschreibung,18635,9176,9459
1986-06-30,fortschreibung,18657,9192,9465
1986-09-30,fortschreibung,18717,9216,9501
1986-12-31,fortschreibung,18846,9298,9548
1987-03-31,fortschreibung,18879,9303,9576
1987-06-30,fortschreibung,17836,8733,9103
1987-09-30,fortschreibung,17916,8789,9127
1987-12-31,fortschreibung,17906,8785,9121
1988-03-31,fortschreibung,17963,8821,9142
1988-06-30,fortschreibung,17996,8844,9152
1988-09-30,fortschreibung,18160,8932,9228
1988-12-31,fortschreibung,18268,8970,9298
1989-03-31,fortschreibung,18324,9004,9320
1989-06-30,fortschreibung,18324,8998,9326
1989-09-30,fortschreibung,18422,9066,9356
1989-12-31,fortschreibung,18599,9171,9428
1990-03-31,fortschreibung,18610,9181,9429
1990-06-30,fortschreibung,18637,9199,9438
1990-09-30,fortschreibung,18759,9263,9496
1990-12-31,fortschreibung,18751,9256,9495
1991-03-31,fortschreibung,18741,9250,9491
1991-06-30,fortschreibung,18735,9247,9488
1991-09-30,fortschreibung,18800,9295,9505
1991-12-31,fortschreibung,18899,9338,9561
1992-03-31,fortschreibung,18890,9331,9559
1992-06-30,fortschreibung,18890,9328,9562
1992-09-30,fortschreibung,18961,9345,9616
1992-12-31,fortschreibung,18972,9336,9636
1993-03-31,fortschreibung,19043,9408,9635
1993-06-30,fortschreibung,19080,9442,9638
1993-09-30,fortschreibung,19095,9438,9657
1993-12-31,fortschreibung,19054,9392,9662
1994-03-31,fortschreibung,19047,9393,9654
1994-06-30,fortschreibung,19077,9404,9673
1994-09-30,fortschreibung,19141,9435,9706
1994-12-31,fortschreibung,19277,9490,9787
1995-03-31,fortschreibung,19309,9508,9801
1995-06-30,fortschreibung,19383,9558,9825
1995-09-30,fortschreibung,19481,9613,9868
1995-12-31,fortschreibung,19649,9697,9952
1996-03-31,fortschreibung,19769,9762,10007
1996-06-30,fortschreibung,19847,9819,10028
1996-09-30,fortschreibung,19945,9855,10090
1996-12-31,fortschreibung,19955,9844,10111
1997-03-31,fortschreibung,19937,9833,10104
1997-06-30,fortschreibung,20052,9912,10140
1997-09-30,fortschreibung,20090,9934,10156
1997-12-31,fortschreibung,20085,9908,10177
1998-03-31,fortschreibung,20109,9894,10215
1998-06-30,fortschreibung,20203,9921,10282
1998-09-30,fortschreibung,20310,9968,10342
1998-12-31,fortschreibung,20394,10010,10384
1999-03-31,fortschreibung,20454,10039,10415
1999-06-30,fortschreibung,20444,10045,10399
1999-09-30,fortschreibung,20452,10036,10416
1999-12-31,fortschreibung,20566,10052,10514
2000-03-31,fortschreibung,20635,10098,10537
2000-06-30,fortschreibung,20669,10121,10548
2000-09-30,fortschreibung,20867,10258,10609
2000-12-31,fortschreibung,20978,10316,10662
2001-03-31,fortschreibung,21005,10336,10669
2001-06-30,fortschreibung,21071,10390,10681
2001-09-30,fortschreibung,21247,10449,10798
2001-12-31,fortschreibung,21221,10430,10791
2002-03-31,fortschreibung,21214,10443,10771
2002-06-30,fortschreibung,21233,10471,10762
2002-09-30,fortschreibung,21232,10433,10799
2002-12-31,fortschreibung,21113,10353,10760
2003-03-31,fortschreibung,21058,10306,10752
2003-06-30,fortschreibung,21107,10341,10766
2003-09-30,fortschreibung,21255,10415,10840
2003-12-31,fortschreibung,21052,10320,10732
2004-03-31,fortschreibung,21091,10337,10754
2004-06-30,fortschreibung,21097,10339,10758
2004-09-30,fortschreibung,21194,10379,10815
2004-12-31,fortschreibung,21097,10306,10791
2005-03-31,fortschreibung,21166,10334,10832
2005-06-30,fortschreibung,21155,10313,10842
2005-09-30,fortschreibung,21193,10312,10881
2005-12-31,fortschreibung,21158,10307,10851
2006-03-31,fortschreibung,21219,10341,10878
2006-06-30,fortschreibung,21323,10397,10926
2006-09-30,fortschreibung,21379,10444,10935
2006-12-31,fortschreibung,21401,10460,10941
2007-03-31,fortschreibung,21499,10474,11025
2007-06-30,fortschreibung,21534,10478,11056
2007-09-30,fortschreibung,21577,10510,11067
2007-12-31,fortschreibung,21600,10527,11073
2008-03-31,fortschreibung,21638,10558,11080
2008-06-30,fortschreibung,21632,10566,11066
2008-09-30,fortschreibung,21662,10596,11066
2008-12-31,fortschreibung,21697,10627,11070
2009-03-31,fortschreibung,21760,10681,11079
2009-06-30,fortschreibung,21741,10675,11066
2009-09-30,fortschreibung,21802,10688,11114
2009-12-31,fortschreibung,21856,10732,11124
2010-03-31,fortschreibung,21917,10740,11177
2010-06-30,fortschreibung,21961,10788,11173
2010-09-30,fortschreibung,21956,10766,11190
2010-12-31,fortschreibung,22070,10857,11213
2011-03-31,fortschreibung,22112,10869,11243
2011-06-30,fortschreibung,21061,10201,10860
2011-09-30,fortschreibung,21182,10266,10916
2011-12-31,fortschreibung,21286,10342,10944
2012-03-31,fortschreibung,21441,10432,11009
2012-06-30,fortschreibung,21554,10480,11074
2012-09-30,fortschreibung,21661,10520,11141
2012-12-31,fortschreibung,21757,10537,11220
2013-03-31,fortschreibung,21857,10595,11262
2013-06-30,fortschreibung,21892,10600,11292
2013-09-30,fortschreibung,22067,10717,11350
2013-12-31,fortschreibung,22087,10718,11369
2014-03-31,fortschreibung,22053,10700,11353
2014-06-30,fortschreibung,22151,10751,11400
2014-09-30,fortschreibung,22298,10806,11492
2014-12-31,fortschreibung,22272,10804,11468
2015-03-31,fortschreibung,22338,10839,11499
2015-06-30,fortschreibung,22493,10893,11600
2015-09-30,fortschreibung,22731,11067,11664
2015-12-31,fortschreibung,22768,11099,11669
2016-03-31,fortschreibung,22888,11157,11731
2016-06-30,fortschreibung,22945,11200,11745
2016-09-30,fortschreibung,22907,11167,11740
2016-12-31,fortschreibung,22936,11180,11756
2017-03-31,fortschreibung,22969,11225,11744
2017-06-30,fortschreibung,23035,11282,11753
2017-09-30,fortschreibung,23151,11337,11814
2017-12-31,fortschreibung,23229,11379,11850
2018-03-31,fortschreibung,23327,11429,11898
2018-06-30,fortschreibung,23386,11482,11904
2018-09-30,fortschreibung,23493,11529,11964
2018-12-31,fortschreibung,23422,11448,11974
2019-03-31,fortschreibung,23797,11657,12140
2019-06-30,fortschreibung,24033,11802,12231
2019-09-30,fortschreibung,24369,11984,12385
2019-12-31,fortschreibung,24404,12010,12394
2020-03-31,fortschreibung,24427,12018,12409
2020-06-30,fortschreibung,24576,12101,12475
2020-09-30,fortschreibung,24646,12128,12518
2020-12-31,fortschreibung,24789,12183,12606
2021-03-31,fortschreibung,24796,12174,12622
2021-06-30,fortschreibung,24979,12269,12710
2021-09-30,fortschreibung,25090,12303,12787
2021-12-31,fortschreibung,25023,12253,12770
2022-03-31,fortschreibung,25399,12401,12998
2022-06-30,fortschreibung,25607,12490,13117
2022-09-30,fortschreibung,25644,12538,13106
2022-12-31,fortschreibung,25530,12475,13055
2023-03-31,fortschreibung,25524,12493,13031
2023-06-30,fortschreibung,25570,12521,13049
