Stimmbezirk,Wahlberechtigte,Waehler,UngueltigeStimmen,GueltigeStimmen
Gesamt,17301,15018,89,14929
Stimmbezirk 1,1455,491,1,490
Stimmbezirk 2,895,284,2,282
Stimmbezirk 3,1092,362,1,361
Stimmbezirk 4,2045,551,3,548
Stimmbezirk 5,1272,335,1,334
Stimmbezirk 6,1274,407,2,405
Stimmbezirk 7,1330,379,7,372
Stimmbezirk 8,1191,378,7,371
Stimmbezirk 9,997,274,0,274
Stimmbezirk 10,1056,292,0,292
Stimmbezirk 11,1086,276,1,275
Stimmbezirk 12,1182,349,4,345
Stimmbezirk 13,1038,268,0,268
Stimmbezirk 14,1388,442,1,441
Stimmbezirk 31,0,1239,10,1229
Stimmbezirk 32,0,594,1,593
Stimmbezirk 33,0,1151,3,1148
Stimmbezirk 34,0,800,19,781
Stimmbezirk 35,0,717,6,711
Stimmbezirk 36,0,753,5,748
Stimmbezirk 37,0,694,2,692
Stimmbezirk 38,0,568,3,565
Stimmbezirk 39,0,639,0,639
Stimmbezirk 40,0,699,1,698
Stimmbezirk 41,0,697,2,695
Stimmbezirk 42,0,644,5,639
Stimmbezirk 43,0,735,2,733
