Stimmbezirk,Wahlberechtigte,Waehler,UngueltigeStimmen,GueltigeStimmen
Gesamt,17845,13297,27,13270
Stimmbezirk 1,1493,502,2,500
Stimmbezirk 2,941,317,0,317
Stimmbezirk 3,1117,431,0,431
Stimmbezirk 4,1102,349,2,347
Stimmbezirk 5,1113,304,1,303
Stimmbezirk 6,1393,475,0,475
Stimmbezirk 7,1286,445,1,444
Stimmbezirk 8,1376,450,1,449
Stimmbezirk 9,1195,440,0,440
Stimmbezirk 10,982,288,1,287
Stimmbezirk 11,1069,324,1,323
Stimmbezirk 12,1086,397,0,397
Stimmbezirk 13,1225,411,0,411
Stimmbezirk 14,1063,348,1,347
Stimmbezirk 15,1404,471,0,471
Stimmbezirk 31,0,538,0,538
Stimmbezirk 32,0,367,1,366
Stimmbezirk 33,0,438,0,438
Stimmbezirk 34,0,490,1,489
Stimmbezirk 35,0,437,0,437
Stimmbezirk 36,0,574,3,571
Stimmbezirk 37,0,547,1,546
Stimmbezirk 38,0,553,0,553
Stimmbezirk 39,0,484,0,484
Stimmbezirk 40,0,448,0,448
Stimmbezirk 41,0,464,0,464
Stimmbezirk 42,0,482,11,471
Stimmbezirk 43,0,540,0,540
Stimmbezirk 44,0,449,0,449
Stimmbezirk 45,0,534,0,534
